group,variable,value
A,v40,47
B,v40,23
C,v40,18
D,v40,25
E,v40,18
F,v40,17
G,v40,24
H,v40,38
I,v40,17
J,v40,19
A,v39,30
B,v39,23
C,v39,27
D,v39,25
E,v39,33
F,v39,23
G,v39,31
H,v39,32
I,v39,27
J,v39,22
A,v38,27
B,v38,25
C,v38,18
D,v38,24
E,v38,38
F,v38,34
G,v38,33
H,v38,24
I,v38,40
J,v38,22
A,v37,22
B,v37,37
C,v37,35
D,v37,12
E,v37,28
F,v37,30
G,v37,28
H,v37,23
I,v37,27
J,v37,25
A,v36,42
B,v36,30
C,v36,20
D,v36,108
E,v36,19
F,v36,26
G,v36,26
H,v36,20
I,v36,59
J,v36,40
A,v35,36
B,v35,24
C,v35,31
D,v35,28
E,v35,18
F,v35,22
G,v35,36
H,v35,23
I,v35,19
J,v35,19
A,v34,32
B,v34,37
C,v34,29
D,v34,78
E,v34,24
F,v34,18
G,v34,22
H,v34,28
I,v34,38
J,v34,24
A,v33,32
B,v33,26
C,v33,26
D,v33,30
E,v33,35
F,v33,38
G,v33,20
H,v33,24
I,v33,33
J,v33,47
A,v32,32
B,v32,48
C,v32,25
D,v32,27
E,v32,29
F,v32,38
G,v32,33
H,v32,27
I,v32,34
J,v32,19
A,v31,24
B,v31,31
C,v31,54
D,v31,38
E,v31,19
F,v31,21
G,v31,19
H,v31,26
I,v31,24
J,v31,14
A,v30,23
B,v30,29
C,v30,40
D,v30,37
E,v30,20
F,v30,26
G,v30,40
H,v30,27
I,v30,30
J,v30,51
A,v29,26
B,v29,37
C,v29,37
D,v29,26
E,v29,18
F,v29,22
G,v29,20
H,v29,21
I,v29,31
J,v29,29
A,v28,28
B,v28,40
C,v28,43
D,v28,26
E,v28,36
F,v28,28
G,v28,20
H,v28,27
I,v28,27
J,v28,44
A,v27,39
B,v27,33
