group,variable,value
A,v40,0
B,v40,0
C,v40,1
D,v40,0
E,v40,1
F,v40,0
G,v40,0
H,v40,0
I,v40,0
J,v40,3
A,v39,3
B,v39,5
C,v39,0
D,v39,1
E,v39,2
F,v39,0
G,v39,4
H,v39,3
I,v39,2
J,v39,0
A,v38,1
B,v38,1
C,v38,5
D,v38,1
E,v38,3
F,v38,0
G,v38,0
H,v38,3
I,v38,0
J,v38,0
A,v37,0
B,v37,0
C,v37,1
D,v37,2
E,v37,0
F,v37,0
G,v37,1
H,v37,0
I,v37,0
J,v37,3
A,v36,0
B,v36,0
C,v36,0
D,v36,0
E,v36,0
F,v36,0
G,v36,0
H,v36,1
I,v36,0
J,v36,1
A,v35,0
B,v35,0
C,v35,0
D,v35,0
E,v35,0
F,v35,3
G,v35,1
H,v35,2
I,v35,0
J,v35,0
A,v34,0
B,v34,0
C,v34,2
D,v34,0
E,v34,3
F,v34,1
G,v34,0
H,v34,0
I,v34,2
J,v34,1
A,v33,0
B,v33,0
C,v33,2
D,v33,1
E,v33,0
F,v33,9
G,v33,2
H,v33,1
I,v33,1
J,v33,5
A,v32,2
B,v32,2
C,v32,0
D,v32,1
E,v32,4
F,v32,7
G,v32,1
H,v32,0
I,v32,0
J,v32,1
A,v31,1
B,v31,0
C,v31,2
D,v31,1
E,v31,0
F,v31,3
G,v31,0
H,v31,1
I,v31,4
J,v31,2
A,v30,5
B,v30,1
C,v30,3
D,v30,2
E,v30,3
F,v30,3
G,v30,3
H,v30,1
I,v30,2
J,v30,3
A,v29,0
B,v29,0
C,v29,0
D,v29,0
E,v29,0
F,v29,1
G,v29,0
H,v29,0
I,v29,0
J,v29,1
A,v28,2
B,v28,0
C,v28,0
D,v28,1
E,v28,0
F,v28,2
G,v28,2
H,v28,0
