group,variable,value
A,v40,48
B,v40,25
C,v40,20
D,v40,49
E,v40,17
F,v40,35
G,v40,30
H,v40,58
I,v40,29
J,v40,39
A,v39,36
B,v39,42
C,v39,32
D,v39,45
E,v39,42
F,v39,23
G,v39,32
H,v39,28
I,v39,30
J,v39,52
A,v38,30
B,v38,44
C,v38,35
D,v38,20
E,v38,38
F,v38,41
G,v38,39
H,v38,37
I,v38,27
J,v38,33
A,v37,28
B,v37,27
C,v37,52
D,v37,32
E,v37,50
F,v37,63
G,v37,41
H,v37,30
I,v37,88
J,v37,36
A,v36,38
B,v36,28
C,v36,51
D,v36,46
E,v36,28
F,v36,41
G,v36,30
H,v36,39
I,v36,101
J,v36,41
A,v35,31
B,v35,42
C,v35,39
D,v35,50
E,v35,28
F,v35,39
G,v35,42
H,v35,49
I,v35,66
J,v35,44
A,v34,74
B,v34,31
C,v34,35
D,v34,22
E,v34,17
F,v34,58
G,v34,50
H,v34,30
I,v34,34
J,v34,30
A,v33,38
B,v33,40
C,v33,46
D,v33,38
E,v33,26
F,v33,38
G,v33,56
H,v33,43
I,v33,68
J,v33,32
A,v32,66
B,v32,39
C,v32,55
D,v32,41
E,v32,31
F,v32,29
G,v32,35
H,v32,18
I,v32,56
J,v32,34
A,v31,42
B,v31,25
C,v31,68
D,v31,56
E,v31,51
F,v31,28
G,v31,23
H,v31,58
I,v31,29
J,v31,27
A,v30,38
B,v30,23
C,v30,28
D,v30,30
E,v30,41
F,v30,45
G,v30,33
H,v30,28
I,v30,34
J,v30,41
A,v29,75
B,v29,30
C,v29,33
D,v29,40
E,v29,24
F,v29,31
G,v29,48
H,v29,29
I,v29,28
J,v29,116
A,v28,21
B,v28,39
