group,variable,value
A,v40,2
B,v40,0
C,v40,3
D,v40,5
E,v40,5
F,v40,3
G,v40,3
H,v40,2
I,v40,1
J,v40,0
A,v39,8
B,v39,3
C,v39,1
D,v39,0
E,v39,1
F,v39,0
G,v39,0
H,v39,0
I,v39,2
J,v39,2
A,v38,1
B,v38,3
C,v38,1
D,v38,1
E,v38,2
F,v38,3
G,v38,0
H,v38,0
I,v38,0
J,v38,2
A,v37,0
B,v37,1
C,v37,0
D,v37,0
E,v37,1
F,v37,5
G,v37,0
H,v37,0
I,v37,3
J,v37,3
A,v36,1
B,v36,2
C,v36,1
D,v36,3
E,v36,0
F,v36,0
G,v36,1
H,v36,1
I,v36,4
J,v36,2
A,v35,1
B,v35,2
C,v35,1
D,v35,1
E,v35,0
F,v35,0
G,v35,0
H,v35,1
I,v35,4
J,v35,4
A,v34,5
B,v34,2
C,v34,3
D,v34,7
E,v34,2
F,v34,1
G,v34,4
H,v34,3
I,v34,1
J,v34,2
A,v33,2
B,v33,2
C,v33,6
D,v33,5
E,v33,4
F,v33,3
G,v33,2
H,v33,0
I,v33,0
J,v33,4
A,v32,1
B,v32,0
C,v32,1
D,v32,1
E,v32,1
F,v32,5
G,v32,4
H,v32,1
I,v32,0
J,v32,1
A,v31,0
B,v31,2
C,v31,4
D,v31,2
E,v31,1
F,v31,0
G,v31,4
H,v31,0
I,v31,5
J,v31,1
A,v30,0
B,v30,1
C,v30,0
D,v30,1
E,v30,3
F,v30,4
G,v30,1
H,v30,2
I,v30,2
J,v30,0
A,v29,1
B,v29,1
C,v29,0
D,v29,0
E,v29,1
F,v29,1
G,v29,0
