group,variable,value
A,v40,38
B,v40,29
C,v40,33
D,v40,24
E,v40,26
F,v40,51
G,v40,38
H,v40,26
I,v40,44
J,v40,26
A,v39,55
B,v39,18
C,v39,34
D,v39,23
E,v39,27
F,v39,36
G,v39,33
H,v39,45
I,v39,12
J,v39,25
A,v38,28
B,v38,38
C,v38,23
D,v38,15
E,v38,18
F,v38,28
G,v38,43
H,v38,38
I,v38,29
J,v38,24
A,v37,40
B,v37,39
C,v37,36
D,v37,31
E,v37,56
F,v37,23
G,v37,33
H,v37,24
I,v37,22
J,v37,29
A,v36,24
B,v36,34
C,v36,29
D,v36,21
E,v36,25
F,v36,19
G,v36,21
H,v36,19
I,v36,18
J,v36,47
A,v35,33
B,v35,22
C,v35,28
D,v35,22
E,v35,36
F,v35,22
G,v35,48
H,v35,27
I,v35,26
J,v35,34
A,v34,51
B,v34,25
C,v34,30
D,v34,21
E,v34,36
F,v34,47
G,v34,18
H,v34,29
I,v34,42
J,v34,37
A,v33,30
B,v33,18
C,v33,35
D,v33,49
E,v33,44
F,v33,30
G,v33,48
H,v33,23
I,v33,32
J,v33,74
A,v32,21
B,v32,40
C,v32,55
D,v32,29
E,v32,27
F,v32,30
G,v32,47
H,v32,40
I,v32,62
J,v32,24
A,v31,25
B,v31,36
C,v31,45
D,v31,40
E,v31,48
F,v31,68
G,v31,38
H,v31,30
I,v31,18
J,v31,22
A,v30,24
B,v30,39
C,v30,49
D,v30,30
E,v30,26
F,v30,25
G,v30,35
H,v30,33
I,v30,25
J,v30,27
A,v29,18
B,v29,26
C,v29,30
D,v29,40
E,v29,23
F,v29,24
G,v29,25
H,v29,37
I,v29,30
J,v29,20
A,v28,21
B,v28,24
C,v28,32
D,v28,20
E,v28,16
F,v28,19
G,v28,20
H,v28,22
I,v28,28
J,v28,22
A,v27,25
