group,variable,value
A,v40,0
B,v40,1
C,v40,1
D,v40,1
E,v40,0
F,v40,0
G,v40,0
H,v40,0
I,v40,0
J,v40,1
A,v39,0
B,v39,0
C,v39,0
D,v39,0
E,v39,0
F,v39,0
G,v39,0
H,v39,0
I,v39,0
J,v39,1
A,v38,1
B,v38,0
C,v38,0
D,v38,0
E,v38,1
F,v38,0
G,v38,0
H,v38,0
I,v38,1
J,v38,4
A,v37,4
B,v37,1
C,v37,1
D,v37,1
E,v37,0
F,v37,1
G,v37,1
H,v37,0
I,v37,0
J,v37,1
A,v36,0
B,v36,0
C,v36,2
D,v36,1
E,v36,1
F,v36,1
G,v36,5
H,v36,2
I,v36,0
J,v36,3
A,v35,4
B,v35,6
C,v35,5
D,v35,1
E,v35,0
F,v35,0
G,v35,0
H,v35,0
I,v35,0
J,v35,0
A,v34,2
B,v34,0
C,v34,0
D,v34,1
E,v34,1
F,v34,0
G,v34,5
H,v34,4
I,v34,0
J,v34,0
A,v33,2
B,v33,1
C,v33,0
D,v33,5
E,v33,1
F,v33,7
G,v33,0
H,v33,0
I,v33,4
J,v33,1
A,v32,2
B,v32,3
C,v32,4
D,v32,4
E,v32,2
F,v32,5
G,v32,0
H,v32,2
I,v32,0
J,v32,0
A,v31,11
B,v31,7
C,v31,5
D,v31,8
E,v31,4
F,v31,0
G,v31,1
H,v31,0
I,v31,1
J,v31,0
A,v30,0
B,v30,0
C,v30,0
D,v30,0
