group,variable,value
A,v40,21
B,v40,19
C,v40,22
D,v40,32
E,v40,28
F,v40,33
G,v40,37
H,v40,27
I,v40,30
J,v40,23
A,v39,22
B,v39,27
C,v39,30
D,v39,30
E,v39,30
F,v39,42
G,v39,24
H,v39,30
I,v39,34
J,v39,44
A,v38,29
B,v38,39
C,v38,24
D,v38,49
E,v38,39
F,v38,34
G,v38,28
H,v38,26
I,v38,27
J,v38,31
A,v37,28
B,v37,26
C,v37,26
D,v37,19
E,v37,49
F,v37,36
G,v37,40
H,v37,72
I,v37,36
J,v37,20
A,v36,41
B,v36,31
C,v36,21
D,v36,28
E,v36,24
F,v36,141
G,v36,145
H,v36,37
I,v36,42
J,v36,46
A,v35,28
B,v35,49
C,v35,42
D,v35,39
E,v35,47
F,v35,28
G,v35,26
H,v35,50
I,v35,33
J,v35,38
A,v34,23
B,v34,51
C,v34,34
D,v34,40
E,v34,36
F,v34,35
G,v34,54
H,v34,49
I,v34,58
J,v34,42
A,v33,16
B,v33,16
C,v33,32
D,v33,35
E,v33,35
F,v33,27
G,v33,32
H,v33,57
I,v33,32
J,v33,17
A,v32,42
B,v32,44
C,v32,26
D,v32,26
E,v32,26
F,v32,20
G,v32,24
H,v32,47
I,v32,73
J,v32,28
A,v31,38
B,v31,127
C,v31,26
D,v31,27
E,v31,52
F,v31,51
G,v31,44
H,v31,54
I,v31,76
J,v31,30
A,v30,45
B,v30,36
C,v30,76
D,v30,41
E,v30,35
F,v30,50
G,v30,55
H,v30,37
I,v30,44
J,v30,21
A,v29,61
