group,variable,value
A,v40,0
B,v40,0
C,v40,5
D,v40,4
E,v40,3
F,v40,1
G,v40,1
H,v40,0
I,v40,0
J,v40,3
A,v39,2
B,v39,1
C,v39,4
D,v39,2
E,v39,0
F,v39,0
G,v39,0
H,v39,1
I,v39,0
J,v39,1
A,v38,1
B,v38,8
C,v38,6
D,v38,3
E,v38,0
F,v38,3
G,v38,6
H,v38,7
I,v38,5
J,v38,2
A,v37,2
B,v37,0
C,v37,2
D,v37,0
E,v37,0
F,v37,2
G,v37,0
H,v37,2
I,v37,0
J,v37,3
A,v36,1
B,v36,1
C,v36,1
D,v36,0
E,v36,2
F,v36,0
G,v36,0
H,v36,0
I,v36,1
J,v36,1
A,v35,0
B,v35,1
C,v35,1
D,v35,0
E,v35,0
F,v35,2
G,v35,0
H,v35,1
I,v35,1
J,v35,0
A,v34,0
B,v34,2
C,v34,0
D,v34,2
E,v34,0
F,v34,0
G,v34,0
H,v34,2
I,v34,0
J,v34,0
A,v33,1
B,v33,2
C,v33,1
D,v33,1
E,v33,0
F,v33,2
G,v33,0
H,v33,0
I,v33,1
J,v33,1
A,v32,0
B,v32,4
C,v32,2
D,v32,1
E,v32,0
F,v32,0
G,v32,0
H,v32,0
I,v32,0
J,v32,0
A,v31,0
B,v31,0
C,v31,1
D,v31,3
E,v31,4
F,v31,3
G,v31,2
H,v31,0
I,v31,1
J,v31,4
A,v30,0
B,v30,1
C,v30,1
D,v30,1
E,v30,3
F,v30,8
G,v30,0
H,v30,3
I,v30,0
J,v30,3
A,v29,2
B,v29,5
C,v29,4
D,v29,7
E,v29,8
F,v29,8
G,v29,9
H,v29,3
I,v29,3
J,v29,3
A,v28,2
B,v28,0
C,v28,5
D,v28,5
E,v28,4
F,v28,0
G,v28,4
H,v28,1
I,v28,0
J,v28,1
A,v27,2
B,v27,1
C,v27,2
