group,variable,value
A,v40,45
B,v40,28
C,v40,30
D,v40,26
E,v40,30
F,v40,32
G,v40,29
H,v40,20
I,v40,24
J,v40,36
A,v39,57
B,v39,125
C,v39,35
D,v39,36
E,v39,25
F,v39,21
G,v39,48
H,v39,22
I,v39,33
J,v39,39
A,v38,21
B,v38,23
C,v38,39
D,v38,26
E,v38,31
F,v38,80
G,v38,29
H,v38,26
I,v38,27
J,v38,31
A,v37,24
B,v37,30
C,v37,21
D,v37,33
E,v37,34
F,v37,20
G,v37,58
H,v37,29
I,v37,29
J,v37,27
A,v36,29
B,v36,22
C,v36,27
D,v36,18
E,v36,36
F,v36,23
G,v36,42
H,v36,34
I,v36,32
J,v36,36
A,v35,30
B,v35,32
C,v35,39
D,v35,24
E,v35,31
F,v35,33
G,v35,21
H,v35,36
I,v35,50
J,v35,24
A,v34,18
B,v34,32
C,v34,34
D,v34,29
E,v34,31
F,v34,24
G,v34,30
H,v34,30
I,v34,40
J,v34,20
A,v33,18
B,v33,20
C,v33,23
D,v33,23
E,v33,24
F,v33,29
G,v33,24
H,v33,26
I,v33,45
J,v33,18
A,v32,26
B,v32,27
C,v32,25
D,v32,40
E,v32,32
F,v32,22
G,v32,33
H,v32,26
I,v32,33
J,v32,38
A,v31,19
B,v31,34
C,v31,30
D,v31,20
E,v31,31
F,v31,21
G,v31,49
H,v31,33
I,v31,26
J,v31,38
A,v30,36
B,v30,37
C,v30,40
D,v30,35
E,v30,30
F,v30,44
G,v30,19
H,v30,37
I,v30,25
J,v30,24
A,v29,50
B,v29,29
C,v29,42
D,v29,62
E,v29,26
F,v29,27
G,v29,23
H,v29,38
I,v29,47
J,v29,34
A,v28,22
B,v28,20
C,v28,19
D,v28,45
E,v28,33
F,v28,31
G,v28,31
H,v28,46
I,v28,47
J,v28,33
A,v27,50
B,v27,28
C,v27,28
D,v27,37
E,v27,32
F,v27,31
G,v27,41
H,v27,38
I,v27,44
J,v27,37
A,v26,39
B,v26,31
C,v26,56
D,v26,26
E,v26,18
F,v26,27
G,v26,55
H,v26,26
