group,variable,value
A,v40,5
B,v40,1
C,v40,1
D,v40,1
E,v40,1
F,v40,0
G,v40,0
H,v40,0
I,v40,0
J,v40,0
A,v39,0
B,v39,0
C,v39,2
D,v39,3
E,v39,1
F,v39,1
G,v39,0
H,v39,0
I,v39,0
J,v39,3
A,v38,2
B,v38,3
C,v38,1
D,v38,0
E,v38,1
F,v38,1
G,v38,0
H,v38,0
I,v38,2
J,v38,2
A,v37,3
B,v37,2
C,v37,3
D,v37,0
E,v37,0
F,v37,1
G,v37,0
H,v37,0
I,v37,0
J,v37,0
A,v36,0
B,v36,0
C,v36,2
D,v36,1
E,v36,0
F,v36,1
G,v36,0
H,v36,2
I,v36,2
J,v36,2
A,v35,0
B,v35,1
C,v35,0
D,v35,0
E,v35,1
F,v35,0
G,v35,0
H,v35,1
I,v35,1
J,v35,1
A,v34,0
B,v34,2
C,v34,1
D,v34,0
E,v34,0
F,v34,0
G,v34,0
H,v34,1
I,v34,1
J,v34,1
A,v33,0
B,v33,1
C,v33,3
D,v33,1
E,v33,0
F,v33,0
G,v33,1
H,v33,2
I,v33,2
J,v33,0
A,v32,2
B,v32,1
C,v32,4
D,v32,0
E,v32,0
F,v32,1
G,v32,0
H,v32,1
I,v32,0
J,v32,1
A,v31,0
B,v31,0
C,v31,0
D,v31,1
E,v31,1
F,v31,0
G,v31,1
H,v31,0
I,v31,0
J,v31,2
A,v30,1
B,v30,1
C,v30,0
D,v30,0
E,v30,0
F,v30,0
G,v30,0
H,v30,0
I,v30,0
J,v30,0
A,v29,4
B,v29,2
C,v29,0
D,v29,1
E,v29,1
F,v29,2
G,v29,1
H,v29,0
I,v29,0
J,v29,1
A,v28,0
B,v28,0
C,v28,1
D,v28,0
E,v28,0
F,v28,3
G,v28,0
