group,variable,value
A,v40,76
B,v40,40
C,v40,33
D,v40,40
E,v40,39
F,v40,47
G,v40,53
H,v40,58
I,v40,54
J,v40,27
A,v39,25
B,v39,57
C,v39,49
D,v39,28
E,v39,27
F,v39,28
G,v39,26
H,v39,27
I,v39,30
J,v39,25
A,v38,34
B,v38,23
C,v38,27
D,v38,37
E,v38,39
F,v38,25
G,v38,31
H,v38,49
I,v38,28
J,v38,37
A,v37,19
B,v37,76
C,v37,32
D,v37,32
E,v37,28
F,v37,26
G,v37,21
H,v37,30
I,v37,28
J,v37,51
A,v36,20
B,v36,28
C,v36,27
D,v36,58
E,v36,33
F,v36,37
G,v36,36
H,v36,25
I,v36,70
J,v36,23
A,v35,40
B,v35,33
C,v35,23
D,v35,27
E,v35,30
F,v35,27
G,v35,29
H,v35,24
I,v35,41
J,v35,27
A,v34,53
B,v34,27
C,v34,32
D,v34,42
E,v34,27
F,v34,62
G,v34,40
H,v34,23
I,v34,28
J,v34,37
A,v33,34
B,v33,32
C,v33,31
D,v33,37
E,v33,16
F,v33,29
G,v33,38
H,v33,28
I,v33,30
J,v33,31
A,v32,46
B,v32,45
C,v32,28
D,v32,70
E,v32,50
F,v32,58
G,v32,35
H,v32,44
I,v32,27
J,v32,38
A,v31,27
B,v31,38
C,v31,31
D,v31,32
E,v31,35
F,v31,32
G,v31,45
H,v31,27
I,v31,30
J,v31,78
A,v30,26
B,v30,48
C,v30,25
D,v30,24
E,v30,65
F,v30,76
G,v30,21
H,v30,22
I,v30,30
J,v30,48
A,v29,39
B,v29,30
C,v29,32
D,v29,25
E,v29,34
F,v29,26
G,v29,87
H,v29,36
I,v29,27
J,v29,69
A,v28,33
B,v28,40
C,v28,38
D,v28,29
E,v28,39
F,v28,27
G,v28,52
H,v28,31
I,v28,23
J,v28,30
A,v27,32
B,v27,26
C,v27,74
D,v27,37
E,v27,36
F,v27,40
G,v27,26
H,v27,31
I,v27,38
J,v27,24
A,v26,25
B,v26,39
C,v26,12
D,v26,52
E,v26,31
F,v26,32
G,v26,31
H,v26,37
I,v26,32
J,v26,29
A,v25,23
B,v25,59
C,v25,27
D,v25,29
E,v25,31
F,v25,26
G,v25,28
H,v25,40
I,v25,37
J,v25,20
A,v24,26
B,v24,48
C,v24,53
D,v24,27
E,v24,60
F,v24,33
G,v24,28
H,v24,24
I,v24,42
J,v24,33
A,v23,26
B,v23,26
C,v23,74
D,v23,64
E,v23,31
F,v23,31
G,v23,30
H,v23,24
I,v23,38
J,v23,23
A,v22,29
B,v22,29
C,v22,28
D,v22,41
E,v22,50
F,v22,46
