group,variable,value
A,v40,1
B,v40,0
C,v40,0
D,v40,0
E,v40,0
F,v40,0
G,v40,2
H,v40,0
I,v40,1
J,v40,2
A,v39,0
B,v39,1
C,v39,1
D,v39,0
E,v39,2
F,v39,5
G,v39,5
H,v39,6
I,v39,0
J,v39,0
A,v38,1
B,v38,4
C,v38,2
D,v38,2
E,v38,1
F,v38,3
G,v38,3
H,v38,4
I,v38,6
J,v38,1
A,v37,2
B,v37,0
C,v37,0
D,v37,1
E,v37,1
F,v37,0
G,v37,0
H,v37,0
I,v37,0
J,v37,0
A,v36,0
B,v36,0
C,v36,1
D,v36,5
E,v36,2
F,v36,4
G,v36,3
H,v36,3
I,v36,1
J,v36,5
A,v35,0
B,v35,0
C,v35,0
D,v35,0
E,v35,0
F,v35,2
G,v35,0
H,v35,0
I,v35,1
J,v35,1
A,v34,1
B,v34,0
C,v34,0
D,v34,1
E,v34,5
F,v34,3
G,v34,3
H,v34,0
I,v34,0
J,v34,1
A,v33,0
B,v33,2
C,v33,1
D,v33,0
E,v33,1
F,v33,1
G,v33,0
H,v33,4
I,v33,3
J,v33,5
A,v32,1
B,v32,3
C,v32,1
D,v32,3
E,v32,1
F,v32,1
G,v32,3
H,v32,1
I,v32,0
J,v32,0
A,v31,1
B,v31,1
C,v31,2
D,v31,3
E,v31,2
F,v31,3
G,v31,4
H,v31,0
I,v31,2
J,v31,1
A,v30,5
B,v30,2
C,v30,1
D,v30,4
E,v30,11
F,v30,8
G,v30,0
H,v30,0
I,v30,0
J,v30,3
A,v29,2
B,v29,1
C,v29,3
D,v29,3
E,v29,1
F,v29,0
G,v29,4
H,v29,4
I,v29,3
J,v29,1
A,v28,2
B,v28,6
C,v28,2
D,v28,1
E,v28,6
F,v28,2
G,v28,1
H,v28,0
I,v28,1
J,v28,3
A,v27,0
B,v27,2
C,v27,2
D,v27,3
E,v27,3
F,v27,2
G,v27,1
H,v27,2
I,v27,10
J,v27,3
A,v26,1
B,v26,6
C,v26,3
D,v26,6
E,v26,2
F,v26,0
G,v26,0
H,v26,0
I,v26,0
J,v26,0
A,v25,1
B,v25,0
C,v25,3
D,v25,0
E,v25,0
F,v25,1
G,v25,1
H,v25,1
I,v25,0
J,v25,2
A,v24,0
B,v24,1
C,v24,0
D,v24,5
E,v24,1
F,v24,0
G,v24,2
H,v24,3
I,v24,0
J,v24,0
A,v23,8
B,v23,4
C,v23,7
D,v23,5
E,v23,7
F,v23,7
G,v23,0
H,v23,1
I,v23,1
J,v23,0
A,v22,1
B,v22,1
C,v22,1
D,v22,0
E,v22,0
F,v22,1
